titulo,autor,genero,isbn,copias_disponibles,ubicacion
Voces de la noche: Guía ilustrada 8,Óscar Domínguez,Cuento,978-1000042979,1,Sección A - Estante 10
Atlas histórico de la vida cotidiana: Volumen II 5,Gerardo Campos Lara,Historia,978-1000042986,1,Sección Historia - Estante 5
Paisajes de los volcanes mexicanos: Nueva edición 2,Felipe Contreras,Geografía,978-1000042993,0,Sección Referencia - Estante 3
El caso de la biblioteca cerrada: Lecturas seleccionadas 5,Salvador Ortiz,Misterio,978-1000043006,3,Sección B - Estante 6
El reino de los nahuales: Nueva edición 3,Miguel Chávez,Fantasía,978-1000043013,6,Sección B - Estante 3
El recetario de ingredientes económicos: Lecturas seleccionadas 2,Tomás Castro Ruiz,Cocina,978-1000043020,1,Sección Hogar - Estante 5
Perspectivas de las juventudes: Edición para jóvenes 3,Noemí Núñez Gómez,Ciencias Sociales,978-1000043037,1,Sección Humanidades - Estante 10
Las voces en la ventana: Volumen I 10,Rafael Méndez,Novela,978-1000043044,4,Sección A - Estante 9
La pandilla de tren de colores: Cuaderno de actividades 3,Daniel Trejo,Infantil,978-1000043051,0,Sección Infantil - Estante 2
Breves historias de la periferia: Volumen II 3,Claudia Solís,Cuento,978-1000043068,3,Sección A - Estante 7
Introducción a el consumo responsable: Cuaderno de actividades 5,Carmen Medina,Economía,978-1000043075,6,Sección Humanidades - Estante 6
El pequeño ajolote: Una introducción 6,Juan Hernández,Infantil,978-1000043082,2,Sección Infantil - Estante 8
La guardiana de los nahuales: Estudios y comentarios 5,Sandra Castillo,Fantasía,978-1000043099,1,Sección B - Estante 10
Crónicas del los sueños: Lecturas seleccionadas 2,Liliana Núñez Gutiérrez,Fantasía,978-1000043105,3,Sección B - Estante 1
La casa junto al lago: Lecturas seleccionadas 11,José Rojas Vega,Novela,978-1000043112,6,Sección A - Estante 7
Guía de muralismo: Estudios y comentarios 5,Rosa Gómez Reyes,Arte,978-1000043129,3,Sección Arte - Estante 11
El club de la secundaria 27: Volumen I 5,Mónica Pérez,Juvenil,978-1000043136,8,Sección Juvenil - Estante 12
La pandilla de ajolote: Nueva edición 9,Elena Silva Jiménez,Infantil,978-1000043143,1,Sección Infantil - Estante 6
Memoria de el México prehispánico: Nueva edición 8,Víctor Zúñiga Juárez,Historia de México,978-1000043150,2,Sección Historia - Estante 10
Cuidado de la prevención: Volumen I 3,Salvador Peña,Salud,978-1000043167,2,Sección Salud - Estante 4
Poemas de la lluvia: Volumen I 7,Eva Lara,Poesía,978-1000043174,3,Sección A - Estante 6
Una vida entre un defensor comunitario: Guía ilustrada 3,Miguel Arellano,Biografía,978-1000043181,3,Sección Historia - Estante 12
La distancia bajo el cielo: Cuaderno de actividades 5,Javier Miranda Alarcón,Novela,978-1000043198,6,Sección A - Estante 9
La última la noche interminable: Una introducción 4,Natalia Estrada,Juvenil,978-1000043204,3,Sección Juvenil - Estante 9
Introducción a el mundo moderno: Volumen I 15,Margarita Martínez,Historia,978-1000043211,3,Sección Historia - Estante 4
Guía básica de la lengua española: Volumen II 4,Fernanda Montes Ramos,Referencia,978-1000043228,7,Sección Referencia - Estante 9
Introducción a el conocimiento: Volumen II 3,Paola León Gómez,Filosofía,978-1000043235,1,Sección Humanidades - Estante 8
El huésped de la barranca: Volumen I 5,Alejandra Campos,Terror,978-1000043242,1,Sección B - Estante 7
Poemas de la luz: Una introducción 7,Gerardo Estrada,Poesía,978-1000043259,8,Sección A - Estante 9
El bosque de obsidiana: Estudios y comentarios 2,Daniel Padilla,Fantasía,978-1000043266,8,Sección B - Estante 1
La sombra en la ventana: Guía ilustrada 10,Óscar Mendoza Reyes,Novela,978-1000043273,5,Sección A - Estante 2
Crónicas de la puerta roja: Volumen II 6,Margarita Aranda Ramos,Juvenil,978-1000043280,1,Sección Juvenil - Estante 12
La ciudad de los inconformes: Volumen I 6,Felipe Trejo,Juvenil,978-1000043297,2,Sección Juvenil - Estante 10
La casa del último verano: Lecturas seleccionadas 5,Víctor Trejo,Novela,978-1000043303,1,Sección A - Estante 4
Inventario de los encuentros: Volumen I 7,Francisco Lozano Torres,Poesía,978-1000043310,3,Sección A - Estante 6
Guía de el trabajo: Estudios y comentarios 3,Liliana Rodríguez Lozano,Economía,978-1000043327,1,Sección Humanidades - Estante 9
La sombra de los ausentes: Guía ilustrada 6,Óscar Cabrera,Novela,978-1000043334,1,Sección A - Estante 9
Preguntas y respuestas sobre los océanos: Edición para jóvenes 5,Iván Espinosa,Ciencia,978-1000043341,0,Sección Ciencia - Estante 9
Cuaderno de la ciudad: Guía ilustrada 7,Carlos Vega Romero,Poesía,978-1000043358,5,Sección A - Estante 6
La distancia junto al lago: Una introducción 7,Ernesto Castro,Novela,978-1000043365,2,Sección A - Estante 9
Didáctica de la enseñanza: Nueva edición 4,Jimena Villanueva,Educación,978-1000043372,1,Sección Educación - Estante 11
Los hijos de la luna verde: Volumen II 6,Susana Salazar,Fantasía,978-1000043389,2,Sección B - Estante 7
Introducción al los derechos de niñas y niños: Volumen II 2,Noemí Núñez Gómez,Derecho,978-1000043396,2,Sección Humanidades - Estante 9
Enciclopedia de la lengua española: Volumen II 2,Manuel Cabrera Aguilar,Referencia,978-1000043402,3,Sección Referencia - Estante 1
La sombra de la calle antigua: Una introducción 7,Andrea Soto,Novela,978-1000043419,1,Sección A - Estante 6
La memoria junto al lago: Una introducción 12,Manuel Suárez,Novela,978-1000043426,6,Sección A - Estante 1
Cuidado de el bienestar emocional: Estudios y comentarios 3,Rafael Cortés Vargas,Salud,978-1000043433,2,Sección Salud - Estante 10
México durante el México prehispánico: Nueva edición 6,Ximena Ortiz,Historia de México,978-1000043440,0,Sección Historia - Estante 5
Introducción a las civilizaciones antiguas: Una introducción 11,Irene Ramírez,Historia,978-1000043457,3,Sección Historia - Estante 4
La casa de la calle antigua: Historias complementarias 3,Miguel Castillo Pacheco,Novela,978-1000043464,1,Sección A - Estante 8
Historia de la Independencia: Guía ilustrada 8,Ángel Aranda Delgado,Historia de México,978-1000043471,3,Sección Historia - Estante 11
El mapa de los ausentes: Nueva edición 10,Octavio Cárdenas,Novela,978-1000043488,2,Sección A - Estante 9
El misterio de las luces: Volumen I 4,Rodrigo Peña,Juvenil,978-1000043495,5,Sección Juvenil - Estante 12
El caso de la colonia Roma: Nueva edición 3,Olga Moreno,Misterio,978-1000043501,5,Sección B - Estante 5
Historias desde la noche: Nueva edición 5,Teresa Padilla,Cuento,978-1000043518,3,Sección A - Estante 11
El viaje de colibrí: Edición para jóvenes 6,Luis Gómez,Infantil,978-1000043525,2,Sección Infantil - Estante 2
El caso de Coyoacán: Una introducción 5,Estela Torres Juárez,Misterio,978-1000043532,3,Sección B - Estante 9
Guía ciudadana de las obligaciones civiles: Guía ilustrada 3,Nicolás Benítez,Derecho,978-1000043549,1,Sección Humanidades - Estante 6
Geografía de México: Volumen II 3,Irene Gutiérrez Montes,Geografía,978-1000043556,1,Sección Referencia - Estante 7
Los días bajo el cielo: Estudios y comentarios 5,Alejandra Romero,Novela,978-1000043563,3,Sección A - Estante 12
Introducción al danza: Volumen II 5,Pilar Olvera,Arte,978-1000043570,6,Sección Arte - Estante 4
Historia del arte mexicano: Guía ilustrada 3,Rosa Pérez,Arte,978-1000043587,5,Sección Arte - Estante 5
Enciclopedia de ciencias,Brenda Cortés,Referencia,978-1000043594,2,Sección Referencia - Estante 8
Cocinar con las regiones mexicanas: Volumen I 2,Estela Barrera,Cocina,978-1000043600,3,Sección Hogar - Estante 12
Los guardianes de la noche interminable: Una introducción 4,Ximena Marín,Juvenil,978-1000043617,2,Sección Juvenil - Estante 4
Vida de una maestra rural: Estudios y comentarios 3,Teresa Flores Sánchez,Biografía,978-1000043624,1,Sección Historia - Estante 10
El jardín de la madrugada: Cuaderno de actividades 4,Josefina Cervantes,Novela,978-1000043631,3,Sección A - Estante 12
Derechos y derecho mexicano: Estudios y comentarios 4,Julia Padilla Escobar,Derecho,978-1000043648,0,Sección Humanidades - Estante 8
La estación bajo el cielo: Una introducción 6,Marco Villanueva Luna,Novela,978-1000043655,3,Sección A - Estante 11
Didáctica de la educación comunitaria: Historias complementarias 2,Liliana León Montes,Educación,978-1000043662,1,Sección Educación - Estante 11
Historias desde la lluvia: Edición para jóvenes 7,Lucía Guerrero,Cuento,978-1000043679,1,Sección A - Estante 5
Guía práctica de programación con Python: Volumen II 4,Martha Flores,Tecnología,978-1000043686,1,Sección Ciencia - Estante 5
Crónica de las mujeres en México: Nueva edición 3,Raquel Morales,Historia de México,978-1000043693,3,Sección Historia - Estante 8
Cuentos de los mercados: Historias complementarias 7,Noemí Martínez,Cuento,978-1000043709,6,Sección A - Estante 8
Bajo la misma la estación: Cuaderno de actividades 5,Marco Rojas,Juvenil,978-1000043716,4,Sección Juvenil - Estante 6
El rumor bajo el cielo: Una introducción 9,Víctor Blanco Núñez,Novela,978-1000043723,7,Sección A - Estante 10
Memoria de los barrios de la capital: Nueva edición 5,Arturo Romero,Historia de México,978-1000043730,4,Sección Historia - Estante 1
Preguntas sobre la nutrición: Edición para jóvenes 3,Sara Hernández Molina,Salud,978-1000043747,0,Sección Salud - Estante 9
Cuentos para ajolote: Historias complementarias 7,Pedro Pérez Robles,Infantil,978-1000043754,1,Sección Infantil - Estante 8
Voces de la noche: Volumen II 9,Manuel Rivera,Cuento,978-1000043761,4,Sección A - Estante 6
Los guardianes de las luces: Edición para jóvenes 4,Diego Sandoval,Juvenil,978-1000043778,4,Sección Juvenil - Estante 4
Crónicas de la noche interminable: Nueva edición 2,Olga Montes Cabrera,Juvenil,978-1000043785,3,Sección Juvenil - Estante 11
Atlas histórico de las civilizaciones antiguas: Guía ilustrada 8,Sara Lozano,Historia,978-1000043792,3,Sección Historia - Estante 12
Miradas sobre danza: Una introducción 3,Pedro Molina Blanco,Arte,978-1000043808,4,Sección Arte - Estante 6
La sombra de los ausentes: Estudios y comentarios 7,Carmen Luna Pacheco,Novela,978-1000043815,1,Sección A - Estante 3
La guardiana de las siete puertas: Volumen II 6,Silvia Arellano,Fantasía,978-1000043822,6,Sección B - Estante 6
La estación junto al lago: Guía ilustrada 5,Esther Barrera,Novela,978-1000043839,2,Sección A - Estante 5
Derechos y la Constitución: Nueva edición 2,Susana Trejo Campos,Derecho,978-1000043846,2,Sección Humanidades - Estante 7
Claves para entender la sociología: Volumen II 4,Valeria Luna,Ciencias Sociales,978-1000043853,3,Sección Humanidades - Estante 9
Rutas de los barrios de la capital: Lecturas seleccionadas 5,Nicolás Chávez,Historia de México,978-1000043860,1,Sección Historia - Estante 6
Cuentos de la memoria: Guía ilustrada 2,Mariana Navarro Luna,Cuento,978-1000043877,5,Sección A - Estante 3
El mapa de las jacarandas: Lecturas seleccionadas 6,Rosa Estrada,Novela,978-1000043884,3,Sección A - Estante 4
Relatos de la montaña: Estudios y comentarios 8,Santiago Cervantes,Cuento,978-1000043891,2,Sección A - Estante 1
Crónicas de la estación: Guía ilustrada 4,Leticia Gutiérrez,Juvenil,978-1000043907,3,Sección Juvenil - Estante 3
El bosque de obsidiana: Nueva edición 3,Laura Velasco,Fantasía,978-1000043914,2,Sección B - Estante 7
El mundo de la astronomía: Cuaderno de actividades 6,Esther Serrano,Ciencia,978-1000043921,2,Sección Ciencia - Estante 4
Preguntas de la libertad: Guía ilustrada 2,Tomás Serrano Salazar,Filosofía,978-1000043938,1,Sección Humanidades - Estante 5
Guía de la comprensión lectora: Historias complementarias 4,Paola Villanueva,Educación,978-1000043945,1,Sección Educación - Estante 4
El club de los inconformes: Volumen I 6,Octavio Ramírez,Juvenil,978-1000043952,2,Sección Juvenil - Estante 5
La sombra junto al lago: Lecturas seleccionadas 6,Andrea Méndez,Novela,978-1000043969,3,Sección A - Estante 8
Crónica de el Valle de México: Nueva edición 5,Ximena Alarcón,Historia de México,978-1000043976,1,Sección Historia - Estante 7
La sombra de los ausentes: Historias complementarias 8,Isabel Blanco Miranda,Novela,978-1000043983,1,Sección A - Estante 11
Los días de las jacarandas: Historias complementarias 13,Liliana Castro Zúñiga,Novela,978-1000043990,2,Sección A - Estante 1
El rumor de la calle antigua: Historias complementarias 7,Jorge Lara Reyes,Novela,978-1000044003,4,Sección A - Estante 6
La última las luces: Edición para jóvenes 5,Olga Solís,Juvenil,978-1000044010,2,Sección Juvenil - Estante 9
Guía de los insectos: Lecturas seleccionadas 4,Irene Molina Ortega,Ciencia,978-1000044027,2,Sección Ciencia - Estante 4
Historias desde la montaña: Estudios y comentarios 6,Gabriela Luna,Cuento,978-1000044034,4,Sección A - Estante 11
Memoria de los barrios de la capital: Volumen II 6,Ricardo Robles Cabrera,Historia de México,978-1000044041,2,Sección Historia - Estante 1
Señal la frontera solar,Eduardo Sandoval,Ciencia Ficción,978-1000044058,3,Sección B - Estante 8
Principios de los océanos: Edición para jóvenes 4,Rubén Castillo,Ciencia,978-1000044065,2,Sección Ciencia - Estante 9
Introducción a bases de datos: Nueva edición 2,Rosa Ríos Miranda,Tecnología,978-1000044072,2,Sección Ciencia - Estante 9
Rutas de la Ciudad de México: Volumen II 6,Mariana Méndez Sánchez,Historia de México,978-1000044089,3,Sección Historia - Estante 3
Cuidado de la prevención: Una introducción 4,Brenda Méndez,Salud,978-1000044096,0,Sección Salud - Estante 7
Breves historias de la montaña: Edición para jóvenes 9,Julia Hernández Rojas,Cuento,978-1000044102,1,Sección A - Estante 8
Sabores de la abuela: Volumen II 4,Jimena Navarro Ortiz,Cocina,978-1000044119,4,Sección Hogar - Estante 5
Perspectivas de la desigualdad: Cuaderno de actividades 5,Laura Velasco Rojas,Ciencias Sociales,978-1000044126,3,Sección Humanidades - Estante 5
Vida de una fotógrafa mexicana: Volumen I 3,Diego Cervantes,Biografía,978-1000044133,3,Sección Historia - Estante 3
Guía de el cuerpo humano: Cuaderno de actividades 6,Leonardo Padilla,Ciencia,978-1000044140,1,Sección Ciencia - Estante 5
Claves para entender la diversidad cultural: Cuaderno de actividades 7,Leticia Alarcón Chávez,Ciencias Sociales,978-1000044157,4,Sección Humanidades - Estante 7
Miradas sobre cine: Lecturas seleccionadas 3,Gabriela Peña Miranda,Arte,978-1000044164,4,Sección Arte - Estante 12
La colonia el año 2149: Volumen II 4,Brenda Méndez Fuentes,Ciencia Ficción,978-1000044171,3,Sección B - Estante 12
Historia de el mundo moderno: Una introducción 12,David Díaz,Historia,978-1000044188,2,Sección Historia - Estante 5
Cuentos de la ciudad: Estudios y comentarios 8,Ximena Chávez,Cuento,978-1000044195,0,Sección A - Estante 9
Claves para entender la participación ciudadana: Volumen II 2,Marcela Trejo,Ciencias Sociales,978-1000044201,1,Sección Humanidades - Estante 4
Crónicas de la noche interminable: Nueva edición 3,Josefina Moreno,Juvenil,978-1000044218,2,Sección Juvenil - Estante 3
El pequeño niñas curiosas: Guía ilustrada 4,Emiliano Maldonado,Infantil,978-1000044225,2,Sección Infantil - Estante 8
Las voces del barrio: Historias complementarias 4,Josefina Vega Aguilar,Novela,978-1000044232,2,Sección A - Estante 7
La colonia la frontera solar: Edición para jóvenes 5,Javier Vargas,Ciencia Ficción,978-1000044249,5,Sección B - Estante 2
La distancia del último verano: Historias complementarias 10,Silvia Medina,Novela,978-1000044256,2,Sección A - Estante 7
Misterio en la colonia Roma: Nueva edición 4,Alicia Morales,Misterio,978-1000044263,0,Sección B - Estante 10
Perspectivas de la vida urbana: Historias complementarias 6,Leticia Lozano,Ciencias Sociales,978-1000044270,2,Sección Humanidades - Estante 2
Introducción a la vida cotidiana: Estudios y comentarios 11,Mónica Juárez Rivera,Filosofía,978-1000044287,6,Sección Humanidades - Estante 12
Horizonte Europa: Estudios y comentarios 3,Marcela Padilla Sandoval,Ciencia Ficción,978-1000044294,3,Sección B - Estante 3
El mundo de la química: Cuaderno de actividades 6,Guadalupe Domínguez,Ciencia,978-1000044300,2,Sección Ciencia - Estante 4
Crónica de la Revolución Mexicana: Volumen I 4,Carlos Alarcón,Historia de México,978-1000044317,2,Sección Historia - Estante 7
Didáctica de la enseñanza: Cuaderno de actividades 5,Liliana Díaz,Educación,978-1000044324,2,Sección Educación - Estante 5
Estudios sobre la diversidad cultural: Nueva edición 8,Rosa Ríos Miranda,Ciencias Sociales,978-1000044331,7,Sección Humanidades - Estante 7
